indicator_id,name,measure,how_calculated,source_list
806,"Hypospadias ",3 Year Number,<p>Number of live births diagnosed with hypospadias and reported to the NYS CMR over the 3 year period.</p>,New York State Congenital Malformations Registry (CMR)
800,"Cleft Palate without Cleft Lip ",3 Year Number,<p>Number of live births diagnosed with cleft palate without cleft lip and reported the NYS CMR over the 3 year period.</p>,New York State Congenital Malformations Registry (CMR)
802,"Cleft Lip with or without Cleft Palate ",3 Year Number,<p>Number of live births diagnosed with cleft lip with or without cleft palate and reported to the NYS CMR over the 3 year period.</p>,New York State Congenital Malformations Registry (CMR)
814,"Transposition of the Great Arteries (Vessels) ",3 Year Number,<p><span>Number of live births diagnosed with transposition of the great arteries and reported to the NYS CMR over the 3 year period.</span></p>,New York State Congenital Malformations Registry (CMR)
796,"Hypoplastic Left Heart Syndrome ",3 Year Number,<p>Number of live births diagnosed with hypoplastic left heart syndrome and reported to the NYS CMR over the 3 year period.</p>,New York State Congenital Malformations Registry (CMR)
810,Spina Bifida (without Anencephaly),3 Year Number,<p><span>Number of live births diagnosed with spina bifida (without anencephaly) and reported to the NYS CMR over the 3 year period.</span></p>,New York State Congenital Malformations Registry (CMR)
812,Tetralogy of Fallot,3 Year Number,<p><span>Number of live births diagnosed with Tetralogy of Fallot and reported to the NYS CMR over the 3 year period.</span></p>,New York State Congenital Malformations Registry (CMR)
870,Poverty,Rank,<p>test</p>,American Community Survey
869,Children under 5 years old in Poverty,Rank,"<p>Neighborhoods are ranked citywide in 3 groups (tertiles), so that neighborhoods can be grouped and compared.</p>",American Community Survey
862,Disinfection By-Product in Drinking Water (TTHM),Quarterly Average Concentration,"<p><span>Samples are collected from the drinking water distribution system, and concentrations of chloroform, bromodichloromethane, dibromochloromethane, and bromoform are summed within samples to derive a measure of total trihalomethane (TTHM). If a concentration is below the limit of detection (LOD), a value equal to one half the LOD is assigned.&nbsp;Total concentrations are averaged over each quarter.</span></p>",New York State Safe Drinking Water Information System
860,Disinfection By-Product in Drinking Water (HAA5),Quarterly Average Concentration,"<p><span>Samples are collected from the drinking water distribution system, and concentrations of trichloroacetic acid, dichloroacetic acid, monochloroacetic acid, dibromoacetic acid and monobromoacetic acid are summed within samples to derive a measure of total HAA5. If a concentration is below the limit of detection (LOD), a value equal to one half the LOD is assigned. Total concentrations are averaged for each quarter.</span></p>",New York State Safe Drinking Water Information System
858,Disinfection By-Product in Drinking Water (HAA5),Quarterly Maximum Concentration,"<p><span>Samples are collected from the drinking water distribution system, and concentrations of trichloroacetic acid, dichloroacetic acid, monochloroacetic acid, dibromoacetic acid and monobromoacetic acid are summed within samples to derive a measure of total HAA5. If a concentration is below the limit of detection (LOD), a value equal to one half the LOD is assigned. The maximum total concentration is identified for each quarter.</span></p>",New York State Safe Drinking Water Information System
863,Disinfection By-Product in Drinking Water (TTHM),Quarterly Maximum Concentration,"<p><span>Samples are collected from the drinking water distribution system, and concentrations of chloroform, bromodichloromethane, dibromochloromethane, and bromoform are summed within samples to derive a measure of total trihalomethane (TTHM). If a concentration is below the limit of detection (LOD), a value equal to one half the LOD is assigned. The maximum total concentration is identified for each quarter.</span></p>",New York State Safe Drinking Water Information System
861,Disinfection By-Product in Drinking Water (TTHM),Qtr Maximum Allowable Contaminant Level (MCL),<p><span>&nbsp;The highest level of TTHM that is allowed in drinking water according to regulatory standards</span></p>,United States Environmental Protection Agency (EPA)
859,Disinfection By-Product in Drinking Water (HAA5),Qtr Maximum Allowable Contaminant Level (MCL),"<p><span>The highest level of HAA5 that is allowed in drinking water, according to regulatory standards.</span></p>",United States Environmental Protection Agency (EPA)
886,Children under 6 years with elevated blood lead levels by NTA,Average Annual Number BLL >=5 µg/dL,"<p>Sum of the number of children under 6 years of age with blood lead levels (BLL) 5 mcg/dL or greater over the time period, divided by the number of years in the time period. While children can receive more than one test during the calendar year, for this measure children are only counted once per year using the highest confirmed blood lead level during the calendar year. If the child does not have a confirmed test in a given year, the child&rsquo;s blood lead level is based on the highest capillary or unknown test type.&nbsp;<a href=""http://a816-dohbesp.nyc.gov/IndicatorPublic/EPHTPDF/Childhood_Lead_Exposure_Definitions_June_2016.pdf"" target=""_blank"">Read more&nbsp;</a>about different measures used by the Health Department for surveillance of childhood lead poisoning.</p>
<ul>
<li>For the purpose of providing data for small geographic areas, multiple years of data were combined to get sufficient numbers of observations to make more reliable estimates for a greater number of neighborhood tabulation areas (NTAs).</li>
<li>Annual numbers and rates of children under 6 years of age with elevated blood lead levels at the citywide, borough, and United Hospital Fund neighborhood level are available <a href=""http://a816-dohbesp.nyc.gov/IndicatorPublic/VisualizationData.aspx?id=2184,4466a0,14,Summarize"">here</a>. &nbsp;&nbsp;</li>
</ul>
<p>&nbsp;</p>
<p>&nbsp;</p>",New York City Healthy Homes Program
887,Children under 6 years with elevated blood lead levels by NTA,Average Annual Number Tested,"<p>Average annual number of children under 6 years of age tested for lead poisoning. Children may be tested multiple times in a given year but for this measure are only counted once per year. All children are counted regardless of blood specimen type (confirmed or unconfirmed). Numbers are rounded to nearest 10. <a href=""http://a816-dohbesp.nyc.gov/IndicatorPublic/EPHTPDF/Childhood_Lead_Exposure_Definitions_June_2016.pdf"">Read more</a> about definitions and measures used by the Health Department for surveillance of childhood lead poisoning.&nbsp;</p>",New York City Healthy Homes Program
822,Heat Vulnerability Index,Score,"<p>Each neighborhood receives a score from 1 (lowest risk) to 5 (highest risk) based on results from a statistical model that uses social and environmental factors to estimate risk of heat- related death across NYC neighborhoods.&nbsp;<strong>A low vulnerability score does not mean no risk</strong>.&nbsp; Every neighborhood has residents at risk for heat illness and death, particularly people who do not have or use air conditioning <strong>AND </strong>are older adults, or have chronic health conditions or severe mental illnesses.</p>
<p>&nbsp;</p>
<p>To learn more about the HVI calculations, visit the HVI <strong><a href=""EPHTPDF/HVI_FAQ.pdf"" target=""_blank"">FAQ</a></strong>.</p>
<p>&nbsp;</p>
<p>&nbsp;Visit <a href=""http://www.nyc.gov/health/heat"">www.nyc.gov/health/heat</a>&nbsp;for more information about heat illness and how to prevent it.&nbsp;<a href=""https://www.health.ny.gov/environmental/weather/vulnerability_index/index.htm"">NYS has its own HVI information</a></p>",American Community Survey; New York City Department of Parks and Recreation; U. S. Geological Survey; United States Census
673,Walkability Index (Infrastructure),Score,"<p>Z-scores were calculated and summed across indicators of residential population density (density of population per total residential land area); intersection density; an entropy measure of land use based on the distribution of building floor area among 5 land-use types (education, entertainment, residential (single- and multi-family), retail, and office); the ratio of retail building floor area to retail land area; and subway stop density. This scale is a variation of Frank's Walkability Index.</p>
<p><strong><a href=""EPHTPDF/Walkability.pdf"" target=""_blank"">Click here</a></strong> for a full description of the Walkability Index (Infrastructure).</p>
<p>For more information, visit <a href=""http://beh.columbia.edu/"" target=""_blank"">http://beh.columbia.edu/</a>.</p>","The Built Environment & Health Project (BEH), Columbia University"
872,Elevated Blood Lead Levels among Persons Aged 16 or Older,3-year number BLL >= 10 µg/dL,<p>Number of&nbsp;NYC residents aged 16 years or older with blood lead levels (BLL) greater than or equal to&nbsp;10 micrograms per deciliter over the 3-year period.</p>,New York State Heavy Metal Registry
880,Elevated Blood Lead Levels among Persons Aged 16 or Older,3-year average annual rate BLL >= 10 µg/dL,"<p><span>Number of NYC residents aged 16 years and older with blood lead levels greater than or equal to&nbsp;10 micrograms per deciliter over the 3-year period, divided by the employed NYC population aged&nbsp;16 years or older in each of the 3 years, expressed as 3-year average annual rate per 100,000 employed persons.</span></p>",New York State Heavy Metal Registry; U.S. Bureau of Labor Statistics Current Population Survey
878,Elevated Blood Lead Levels among Persons Aged 16 or Older,3-year number BLL >= 25 µg/dL,<p><span>Number of&nbsp;NYC residents aged 16 years or older with blood lead levels greater than or equal to&nbsp;25 micrograms per deciliter over the 3-year period.&nbsp;</span></p>,New York State Heavy Metal Registry
873,Elevated Blood Lead Levels among Persons Aged 16 or Older,3-year average annual rate BLL >= 25 µg/dL,"<p><span>Number of NYC residents aged 16 years and older with blood lead levels greater than or equal to&nbsp;25 micrograms per deciliter over the 3-year period, divided by the employed NYC population aged&nbsp;16 years or older in each of the 3 years, expressed as 3-year average annual rate per 100,000 employed persons.</span></p>",New York State Heavy Metal Registry; U.S. Bureau of Labor Statistics Current Population Survey
877,Hospitalizations for Pneumoconiosis,3-year number aged 15 years or older,"<p>Number of hospitalizations with a pneumoconiosis&nbsp;ICD-9-CM diagnosis&nbsp;code 500 - 505&nbsp;or an ICD-10-CM diagnosis code&nbsp;J60 - J64, among NYC residents aged 15 years or older, over a 3-year period.</p>",Statewide Planning and Research Cooperative System
879,Hospitalizations for Asbestosis,3-year number aged 15 years or older,"<p>Number of hospitalizations with an asbestosis ICD-9-CM diagnosis code of 501, among NYC residents aged 15 years or older, over a 3-year period.&nbsp;</p>",Statewide Planning and Research Cooperative System
871,Hospitalizations for Asbestosis,3-year average annual rate,"<p>Number of hospitalizations with an asbestosis ICD-9-CM diagnosis code of 501, among NYC residents aged 15 years or older, over a three-year period, divided by the population of NYC residents aged 15 years or older, expressed as 3-year average annual rate per 100,000 residents.</p>",Statewide Planning and Research Cooperative System; U.S. Census Bureau Population Estimates (V2016)
874,Hospitalizations for Pneumoconiosis,3-year average annual rate,"<p>Number of hospitalizations with a pneumoconiosis&nbsp;ICD-9-CM diagnosis&nbsp;code 500 - 505&nbsp;or an ICD-10-CM diagnosis code&nbsp;J60 - J64, among NYC residents aged 15 years or older, divided by the population of NYC residents aged 15 years or older, expressed as 3-year average annual rate per 100,000 residents.</p>",Statewide Planning and Research Cooperative System; U.S. Census Bureau Population Estimates (V2016)
875,Hospitalizations Billed to Workers’ Compensation,3-year average annual rate,"<p>Number of hospitalizations among employed NYC residents aged 16 years or older with workers&rsquo; compensation listed as the primary payer over a 3-year period, divided by the population of employed NYC residents aged 16 years or older in each of these years, expressed as a 3-year average annual rate per 100,000.</p>",Statewide Planning and Research Cooperative System; U.S. Bureau of Labor Statistics Current Population Survey
876,Hospitalizations Billed to Workers’ Compensation,3-year number of employed,<p>Number of hospitalizations among employed NYC residents aged 16 years or older with workers&rsquo; compensation listed as the primary payer in hospital discharge data over a 3-year period.&nbsp;</p>,Statewide Planning and Research Cooperative System
885,Work-Related Deaths in the Construction Industry Citywide,Annual rate,"<p><span>Number of fatal construction injuries occurring in NYC and reported to the U.S. Bureau of Labor Statistics, divided by the NYC construction workforce, </span><span>expressed as deaths per 10,000 workers.</span></p>",U.S. Bureau of Labor Statistics Census of Fatal Occupational Injuries; U.S. Bureau of Labor Statistics Current Population Survey
940,Adults Reporting Personal Use of Pesticides,"Only Safer Methods (Bait,Gel, Boric Acid) - %","<p>Estimated number of adults who reported using only safe methods of pesticide (Bait, Gel, or Boric acid) inside of the home to control insects, among pesticide users in the past 12 months, divided by all adults in the area; expressed as percent.</p>",New York City Community Health Survey (CHS)
939,Adults Reporting Personal Use of Pesticides,"Only Safer Methods (Bait,Gel, Boric Acid) - Number","<p>Estimated number of adults who reported using only safe methods of pesticide (Bait, Gel, or Boric acid) inside of the home to control insects, among pesticide users in the past 12 months, rounded to the nearest 1,000.</p>",New York City Community Health Survey (CHS)
936,Adults Reporting Personal Use of Pesticides,Spray/Bomb Only - %,"<p>Estimated number of adults who reported using any ineffective methods of pesticide (Sprays or Foggers) inside of the home to control insects, among pesticide users in the past 12 months, divided by all adults in the area; expressed as percent.</p>",New York City Community Health Survey (CHS)
935,Adults Reporting Personal Use of Pesticides,Spray/Bomb Only - Number,"<p>Estimated number of adults who reported using any ineffective methods of pesticide (Spray or Fogger) inside of the home to control insects in the past 12 months, among pesticde users, rounded to the nearest 1,000.</p>",New York City Community Health Survey (CHS)
934,Adults Reporting Personal Use of Pesticides,Any use of Tempo or Chinese Chalk - %,"<p>Estimated number of adults who reported using any illegal methods of&nbsp;pesticide (Tempo or Chinese Chalk) inside of the home to control insects, among pesticide users in the past 12 months,&nbsp;divided by all adults in the area; expressed as percent.</p>",New York City Community Health Survey (CHS)
933,Adults Reporting Personal Use of Pesticides,Any use of Tempo or Chinese Chalk - Number,"<p>Estimated number of adults who reported using any illegal methods of pesticide (Tempo or Chinese Chalk) inside of the home to control insects, among pesticide users in the past 12 months, rounded to the nearest 1,000.</p>",New York City Community Health Survey (CHS)
941,Adults Reporting Personal Use of Pesticides,Any Use - Number,"<p>Estimated number of adults who reported using any pesticide inside of the home to control insects in the past 12 months, rounded to the nearest 1,000.</p>",New York City Community Health Survey (CHS)
942,Adults Reporting Personal Use of Pesticides,Any Use - %,"<p>Estimated number of adults who reported using any pesticide inside of the home to control insects in the past 12 months, divided by all adults in the area; expressed as percent.</p>",New York City Child Community Health Survey; New York City Community Health Survey (CHS)
894,Self-Reported Health,"Reporting Excellent, Very Good, or Good Health","<p>Estimated number of adults who report their overall health as &ldquo;excellent,&rdquo; ""very good"" or &ldquo;good&rdquo; on a scale of one to five (excellent, very good, good, fair or poor), rounded to the nearest 1,000.</p>",New York City Community Health Survey (CHS)
892,Perception of Neighborhood Safety,Reporting Neighborhood Safe from Crime,"<p>Estimated number of adults who reported living in a neighborhood safe from crime rounded to the nearest 1,000.</p>",New York City Community Health Survey (CHS)
792,Children tested for lead by age 3 years,Percentage,"<p>Number of children born in New York City to New York City resident mothers who were tested for lead poisoning before the age of three years, divided by the number of children born in New York City to New York City resident mothers turning three years old; expressed as percent.&nbsp;<a href=""http://a816-dohbesp.nyc.gov/IndicatorPublic/EPHTPDF/Childhood_Lead_Exposure_Definitions_June_2016.pdf"" target=""_blank"">Read more&nbsp;</a>about different measures used by the Health Department for surveillance of childhood lead poisoning.</p>",New York City Bureau of Vital Statistics; New York City Healthy Homes Program
1224,Walking Distance to a Park,Percentage,"<p><span>A map of ""walk-to-a-park service areas"" from the NYC Parks Department was overlayed onto a map of 2017 population estimates by census tract to calculate the percentage of the population that potentially live within the service area. </span>These percentages were aggregated up to a neighborhood level.&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>","New York City Department of Parks and Recreation; New York City DOHMH population estimates, modified from US Census Bureau inter-censal population estimates"
1228,Children 0-13 Years Old Ever Diagnosed with Asthma,Percentage,"<p><span>Estimated number of children ages 0-13 years who were ever diagnosed with asthma, divided by all children of the same ages, expressed as a percent.&nbsp;</span></p>",NYC KIDS Survey
991,Race and Ethnicity,Racial Diversity Index,"<p>The Racial Diversity Index (RDI) measures the probability that two randomly chosen people in a given geographic area will be of a different race.</p>
<p>&nbsp;RDI = 1 &ndash; (P<sup>2</sup> <sub>Asian</sub> + P<sup>2</sup> <sub>Black</sub> + P<sup>2</sup> <sub>Hispanic</sub> + P<sup>2</sup> <sub>White</sub>)</p>",American Community Survey
987,Race and Ethnicity,Percent Asian Alone,<p>Estimated Percent Asian</p>,American Community Survey
988,Race and Ethnicity,Percent Black Alone,<p>Estimated Percent Black</p>,American Community Survey
989,Race and Ethnicity,Percent Hispanic Alone,<p>Estimated Percent Hispanic</p>,American Community Survey
990,Race and Ethnicity,Percent White Alone,<p>Estimated Percent White</p>,American Community Survey
992,Race and Ethnicity,Total Population,<p>Estimated Total Population</p>,American Community Survey
1229,Children 0-13 Years Old Ever Diagnosed with Asthma,Count,<p>Estimated number of children ages 0-13 years who were ever diagnosed with asthma.&nbsp;</p>,NYC KIDS Survey
1033,Adults Reporting Secondhand Smoke at Home from Outside Sources,Everyday,<p><span>Estimated number of people who reported smelling cigarette smoke everyday in their home that comes from another home or apartment or from the outside.</span></p>,New York City Community Health Survey (CHS)
1034,Adults Reporting Secondhand Smoke at Home from Outside Sources,Everyday Percent,<p>Estimated number of people who reported smelling cigarette smoke everyday in their home that comes from another home or apartment or from the outside<span>; expressed as percent.</span></p>,New York City Community Health Survey (CHS)
1037,Adults Reporting Secondhand Smoke at Home from Outside Sources,Sometimes,<p>Estimated number of people who reported sometimes smelling cigarette smoke in their home that comes from another home or apartment or from the outside.</p>,New York City Community Health Survey (CHS)
1038,Adults Reporting Secondhand Smoke at Home from Outside Sources,Sometimes Percent,<p>Estimated number of people who reported sometimes smelling cigarette smoke in their home that comes from another home or apartment or from the outside; expressed as percent.</p>,New York City Community Health Survey (CHS)
1035,Adults Reporting Secondhand Smoke at Home from Outside Sources,Never,<p><span>Estimated number of people who reported never smelling cigarette smoke in their home that comes from another home or apartment or from the outside.</span></p>,New York City Community Health Survey (CHS)
1036,Adults Reporting Secondhand Smoke at Home from Outside Sources,Never Percent,<p>Estimated number of people who reported never smelling cigarette smoke in their home that comes from another home or apartment or from the outside<span>; expressed as percent.</span></p>,New York City Community Health Survey (CHS)
1045,Households reporting air conditioning,Percent Household Reporting Lack of AC,"<p><span>Estimated number of households in an area reporting not having functioning air conditioning, divided by the number of households in the area; expressed as percent</span></p>",New York City Housing and Vacancy Survey (HVS)
1058,Perception of Neighborhood Safety,Percent Neighborhood Safe from Crime,"<p><span>Estimated number of adults who reported living in a neighborhood safe from crime, divided by all adults in the area; expressed as percent.</span></p>",New York City Community Health Survey (CHS)
1059,Self-Reported Health,"Percent Excellent, Very Good, or Good Health","<p><span>Estimated number of adults who report their overall health as &ldquo;excellent,&rdquo; ""very good"" or &ldquo;good&rdquo; on a scale of one to five (excellent, very good, good, fair or poor), divided by all adults; expressed as percent.</span></p>",New York City Community Health Survey (CHS)
1071,"All Agency Use of ""Best Practice"" Products",Applications,<p>Placeholder.</p>,New York State Pesticide Sales and Use Registry (PSUR)
1077,All Agency Use of Fungicides,Applications,<p>Placeholder.</p>,New York State Pesticide Sales and Use Registry (PSUR)
1086,All Agency Use of Herbicides,Applications,<p>Placeholder.</p>,New York State Pesticide Sales and Use Registry (PSUR)
1095,All Agency Use of Insecticides,Applications,<p>Placeholder.</p>,New York State Pesticide Sales and Use Registry (PSUR)
1104,All Agency Use of Rodenticides,Applications,<p>Placeholder.</p>,New York State Pesticide Sales and Use Registry (PSUR)
1120,NYC Agency Use of Fungicides,All Agency Solids,"<p>Sum of pounds of solid pesticide applications made by NYC agencies or their contractors that meet the following qualifications: classified as fungistat, fungicide, fungicide/fungistat, or fungicide/nematicide. Excludes products classified as disinfectant, sanitizer, microbicide, microbicide/microbistat, insect growth regulator, insecticide, miticide, or termiticide.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1130,"NYC Agency Use of ""Best Practice"" Products",All Agency Solids,"<p>Sum of pounds of solid pesticide applications made by NYC agencies or their contractors that meet the following qualifications: classified as insect growth regulator, insecticide, miticide, or termiticide; having the term bait or gel in the product name, or containing active ingredients boric acid, disodium octaborate tetrahydrate, sodium tetraborate (pentahydrate), indoxacarb, silica gel, diatomaceous earth, (Z)-9-tricosene, S-methoprene, spinosad, hydramethylnon, pyriproxyfen, or fipronil; and not containing active ingredients of the chemical classes pyrethrins, pyrethroids, N-methyl carbamates or organophosphorous compounds.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1159,NYC Agency Use of Rodenticides,All Agency Solids,<p>Placeholder.</p>,Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1141,NYC Agency Use of Herbicides,All Agency Solids,"<p>Sum of pounds of solid pesticide applications made by NYC agencies or their contractors that meet the following qualifications: classified as fertilizer, herbicide, defoliant, herbicide terrestrial, herbicide aquatic, or plant growth regulator.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1151,NYC Agency Use of Insecticides,All Agency Solids,"<p>Sum of pounds of solid pesticide applications made by NYC agencies or their contractors that meet the following qualifications: classified as insect growth regulator, insecticide, miticide, mechanical, or termiticide. Excludes granular mosquito larvacide products. These amounts are reported separately under ""Mosquito Control"" indicators.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1154,NYC Agency Use of Insecticides,DOE Solids,"<p>Sum of pounds of solid pesticide applications made by the Department of Education (DOE)&nbsp;or&nbsp;its contractors that meet the following qualifications: classified as insect growth regulator, insecticide, miticide, mechanical, or termiticide.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1161,NYC Agency Use of Rodenticides,DOE Solids,<p>Placeholder.</p>,Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1132,"NYC Agency Use of ""Best Practice"" Products",DOE Solids,"<p>Sum of pounds of solid pesticide applications made by the Department of Education (DOE)&nbsp;or&nbsp;its contractors that meet the following qualifications: classified as insect growth regulator, insecticide, miticide, or termiticide; having the term bait or gel in the product name, or containing active ingredients boric acid, disodium octaborate tetrahydrate, sodium tetraborate (pentahydrate), indoxacarb, silica gel, diatomaceous earth, (Z)-9-tricosene, S-methoprene, spinosad, hydramethylnon, pyriproxyfen, or fipronil; and not containing active ingredients of the chemical classes pyrethrins, pyrethroids, N-methyl carbamates or organophosphorous compounds.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1134,"NYC Agency Use of ""Best Practice"" Products",NYCHA Solids,"<p>Sum of pounds of solid pesticide applications made by the NYC Housing Authority (NYCHA) or&nbsp;its contractors that meet the following qualifications: classified as insect growth regulator, insecticide, miticide, or termiticide; having the term bait or gel in the product name, or containing active ingredients boric acid, disodium octaborate tetrahydrate, sodium tetraborate (pentahydrate), indoxacarb, silica gel, diatomaceous earth, (Z)-9-tricosene, S-methoprene, spinosad, hydramethylnon, pyriproxyfen, or fipronil; and not containing active ingredients of the chemical classes pyrethrins, pyrethroids, N-methyl carbamates or organophosphorous compounds.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1157,NYC Agency Use of Insecticides,NYCHA Solids,"<p>Sum of pounds of solid pesticide applications made by the NYC Housing Authority (NYCHA) or&nbsp;its contractors that meet the following qualifications: classified as insect growth regulator, insecticide, miticide, mechanical, or termiticide.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1158,NYC Agency Use of Rodenticides,All Agency Application Count,<p>Placeholder.</p>,Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1148,NYC Agency Use of Insecticides,All Agency Application Count,"<p>Total count of&nbsp;pesticide applications made by NYC agencies or their contractors that meet the following qualifications: classified as insect growth regulator, insecticide, miticide, mechanical, or termiticide. Excludes granular mosquito larvacide products. These amounts are reported separately under ""Mosquito Control"" indicators.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1139,NYC Agency Use of Herbicides,All Agency Application Count,"<p>Total count of&nbsp;pesticide applications made by NYC agencies or their contractors that meet the following qualifications: classified as fertilizer, herbicide, defoliant, herbicide terrestrial, herbicide aquatic, or plant growth regulator.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1135,NYC Agency Use of Glyphosate,All Agency Application Count,"<p>Total count of&nbsp;pesticide applications made by NYC agencies or their contractors that contain the following chemicals: Glyphosate; Glyphosate, isopropylamine salt; Glyphosate, sodium sesqui salt; Glyphosate, monoammonium salt; Glyphosate, ethanolamine salt; Glyphosate, diammonium salt; Glyphosate, dimethylammonium salt; Glyphosate, potassium salt or Glyphosate-trimesium.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Community Air Survey
1129,"NYC Agency Use of ""Best Practice"" Products",All Agency Application Count,"<p>Total count&nbsp;of&nbsp;pesticide applications made by NYC agencies or their contractors that meet the following qualifications: classified as insect growth regulator, insecticide, miticide, or termiticide; having the term bait or gel in the product name, or containing active ingredients boric acid, disodium octaborate tetrahydrate, sodium tetraborate (pentahydrate), indoxacarb, silica gel, diatomaceous earth, (Z)-9-tricosene, S-methoprene, spinosad, hydramethylnon, pyriproxyfen, or fipronil; and not containing active ingredients of the chemical classes pyrethrins, pyrethroids, N-methyl carbamates or organophosphorous compounds.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1118,NYC Agency Use of Fungicides,All Agency Application Count,"<p>Total count of&nbsp;pesticide applications made by NYC agencies or their contractors that meet the following qualifications: classified as fungistat, fungicide, fungicide/fungistat, or fungicide/nematicide. Excludes products classified as disinfectant, sanitizer, microbicide, microbicide/microbistat, insect growth regulator, insecticide, miticide, or termiticide.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1131,"NYC Agency Use of ""Best Practice"" Products",DOE Application Count,"<p>Total&nbsp;count&nbsp;of&nbsp;pesticide applications made by the Department of Education (DOE)&nbsp;or&nbsp;its contractors that meet the following qualifications: classified as insect growth regulator, insecticide, miticide, or termiticide; having the term bait or gel in the product name, or containing active ingredients boric acid, disodium octaborate tetrahydrate, sodium tetraborate (pentahydrate), indoxacarb, silica gel, diatomaceous earth, (Z)-9-tricosene, S-methoprene, spinosad, hydramethylnon, pyriproxyfen, or fipronil; and not containing active ingredients of the chemical classes pyrethrins, pyrethroids, N-methyl carbamates or organophosphorous compounds.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1152,NYC Agency Use of Insecticides,DOE Application Count,"<p>Total count of&nbsp;pesticide applications made by the Department of Education (DOE)&nbsp;or&nbsp;its contractors that meet the following qualifications: classified as insect growth regulator, insecticide, miticide, mechanical, or termiticide.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1160,NYC Agency Use of Rodenticides,DOE Application Count,<p>Placeholder.</p>,Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1155,NYC Agency Use of Insecticides,NYCHA Application Count,"<p>Total count of&nbsp;pesticide applications made by the NYC Housing Authority (NYCHA) or&nbsp;its contractors that meet the following qualifications: classified as insect growth regulator, insecticide, miticide, mechanical, or termiticide.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1133,"NYC Agency Use of ""Best Practice"" Products",NYCHA Application Count,"<p>Total count&nbsp;of pesticide applications made by the NYC Housing Authority (NYCHA) or&nbsp;its contractors that meet the following qualifications: classified as insect growth regulator, insecticide, miticide, or termiticide; having the term bait or gel in the product name, or containing active ingredients boric acid, disodium octaborate tetrahydrate, sodium tetraborate (pentahydrate), indoxacarb, silica gel, diatomaceous earth, (Z)-9-tricosene, S-methoprene, spinosad, hydramethylnon, pyriproxyfen, or fipronil; and not containing active ingredients of the chemical classes pyrethrins, pyrethroids, N-methyl carbamates or organophosphorous compounds.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1126,NYC Agency Use of Fungicides,Parks (Golf Course) Solids,"<p>Sum of pounds of solid pesticide applications made on NYC public golf courses that meet the following qualifications: classified as fungistat, fungicide, fungicide/fungistat, or fungicide/nematicide. Excludes products classified as disinfectant, sanitizer, microbicide, microbicide/microbistat, insect growth regulator, insecticide, miticide, or termiticide.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
